model,split,level,num_points,rmse,r2
model,train,window,451,0.1731386035680771,-0.35785579681396484
train_mean_baseline,train,window,451,0.14858229458332062,0.0
model,train,run,51,0.17415690422058105,-0.32803571224212646
train_mean_baseline,train,run,51,0.15113526582717896,-0.0001380443572998047
model,val,window,149,0.16077344119548798,0.14852672815322876
train_mean_baseline,val,window,149,0.1826954036951065,-0.09950602054595947
model,val,run,17,0.16004468500614166,0.1828758716583252
train_mean_baseline,val,run,17,0.18697583675384521,-0.11526107788085938
model,test,window,149,0.29098331928253174,-1.0575649738311768
train_mean_baseline,test,window,149,0.2242310792207718,-0.2218250036239624
model,test,run,17,0.29251402616500854,-1.0348937511444092
train_mean_baseline,test,run,17,0.22682130336761475,-0.2235339879989624
